FA;Kosmetik;S
FC;Dunkle Kopien;S
FJ;Fixierung;S
FS;Fehlfunktion Duplex;S
YK;Lager;E
YV;Zahnrad;E
YD;Feder;E
WM;RAM;E
WD;Diode;E
ZA;ausgetauscht;A
ZF;überprüft;A
ZM;justiert;A
ZU;Kurzschluss beseitigt;A
CU;Kunde nicht angetroffen;S
ED;Keine Ausbildung;S
IN;Installation;S
AB;Abbau;S
AU;Austausch;S
AA;Wartung;S
