MIETE;Mietangebot;J;;10;15;25;J;N;N;N;N;J;N;J;;;J;0;0;0;0
VERTRAG;Vertragsangebot;J;;8,5;11,75;15;J;J;J;J;N;N;N;J;;;J;0;0;0;0
